Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
China,1992,8.38,2.85,5.7,5.7,8.54,31.17
China,1993,6.46,2.71,5.42,5.42,8.13,28.14
China,1994,5.25,2.4,4.79,4.79,7.19,24.42
China,1995,5.5,2.22,4.45,4.45,6.67,23.29
China,1996,6.96,3.13,6.25,6.25,9.38,31.97
China,1997,8.71,2.19,7.71,6.71,10.56,35.88
China,1998,9.75,0.17,10,6.83,12.17,38.92
China,1999,9.79,0.37,10,7.5,12.67,40.33
China,2000,10,0.5,10,6.33,12.5,39.33
China,2001,9.83,0.5,10,6,12.08,38.41
China,2002,10,0.5,10,6,12.08,38.58
China,2003,9.92,0.5,10,6,12.17,38.59
China,2004,9.17,0.5,10,6.42,12.5,38.59
China,2005,9.13,0.5,10,6.71,13.13,39.47
China,2006,9.83,0.5,10,6.88,13.63,40.84
China,2007,9.38,0.5,10,7.21,14.63,41.72
China,2008,8.25,0.5,10,7.75,15,41.5
China,2009,9.83,0.92,9.67,6.54,13.83,40.79
China,2010,9.08,1,10,7.21,13.04,40.33
China,2011,8.5,1.21,10,6.67,13.29,39.67
China,2012,8.79,1.5,10,6.5,13,39.79
China,2013,9.25,1.5,10,6.5,12.58,39.83
Colombia,1984,4,3.26,6.53,6.53,9.79,30.11
Colombia,1985,4.67,2.6,5.21,5.21,7.81,25.5
Colombia,1986,4.13,2.4,4.79,4.79,7.19,23.3
Colombia,1987,4.88,2.5,5,5,7.5,24.88
Colombia,1988,4.58,2.22,4.45,4.45,6.67,22.37
Colombia,1989,4,2.08,4.17,4.17,6.25,20.67
Colombia,1990,4,2.29,4.58,4.58,6.88,22.33
Colombia,1991,4,2.92,5.83,5.83,8.75,27.33
Colombia,1992,4.33,2.99,5.97,5.97,8.96,28.22
Colombia,1993,4.83,2.5,5,5,7.5,24.83
Colombia,1994,4,2.5,5,5,7.5,24
Colombia,1995,4.54,2.5,5,5,7.5,24.54
Colombia,1996,5.17,2.5,5,5,7.5,25.17
Colombia,1997,5.25,1.72,5.28,4.78,7.33,24.36
Colombia,1998,5.29,1.46,8.75,6.08,9.96,31.54
Colombia,1999,5.54,1.29,4.96,5.29,10.21,27.29
Colombia,2000,7.17,1.5,8.33,6.08,10.5,33.58
Colombia,2001,7.25,1.13,7.5,6.38,10.83,33.09
Colombia,2002,8,1,7.21,6.17,10.96,33.34
Colombia,2003,8,1,7.67,5.58,10.54,32.79
Colombia,2004,8,1,8.54,5.71,10.5,33.75
Colombia,2005,8.5,0.96,8.67,5.54,10.54,34.21
Colombia,2006,8.5,1,9.04,6.5,11,36.04
Colombia,2007,8.5,1,9.21,8.46,10.71,37.88
Colombia,2008,8.25,1,9.38,8.04,10.21,36.88
Colombia,2009,8.5,1.25,7.63,6,10.29,33.67
Colombia,2010,8.83,1.5,7.67,5.67,10.5,34.17
Colombia,2011,8.83,1.92,8.83,5.92,10.5,36
Colombia,2012,9,1.88,9,6.67,10.5,37.05
Colombia,2013,9,2,8.92,7.25,10.5,37.67
Congo,1984,NA,1.98,3.96,3.96,5.94,15.84
Congo,1985,6.06,1.67,3.33,3.33,5,19.39
Congo,1986,6.92,1.74,3.4,3.4,5.11,20.57
Congo,1987,7.96,2.08,4.17,4.17,6.25,24.63
Congo,1988,8.08,2.08,4.17,4.17,6.25,24.75
Congo,1989,8.5,2.08,4.17,4.17,6.25,25.17
Congo,1990,8.5,2.08,4.17,4.17,6.25,25.17
Congo,1991,8.5,1.94,3.89,3.89,5.83,24.05
Congo,1992,8.38,1.67,3.33,3.33,5,21.71
Congo,1993,7.83,1.67,3.33,3.33,5,21.16
Congo,1994,9.42,1.91,3.82,3.82,5.73,24.7
Congo,1995,8.88,2.08,4.17,4.17,6.25,25.55
Congo,1996,8,1.01,4.17,4.17,3.02,20.37
Congo,1997,8.46,0.33,5.39,4.35,1.58,20.11
Congo,1998,5.83,0.04,1.13,4.46,5.71,17.17
Congo,1999,9.5,0.37,9.83,4.13,8.5,32.33
Congo,2000,8.54,0.5,9.88,4.96,8.42,32.3
Congo,2001,8.75,0.5,8.88,9.5,8.75,36.38
Congo,2002,8.58,0.5,8.04,8.5,9.79,35.41
Congo,2003,8.58,0.63,5.29,7.17,8.92,30.59
Congo,2004,9.38,0.5,8.38,8.58,12.96,39.8
Congo,2005,9.38,0.46,9.63,8,13.13,40.6
Congo,2006,9.5,0.5,10,8.5,13.75,42.25
Congo,2007,8.88,0.5,8.88,10,14.88,43.14
Congo,2008,8.33,0.5,9,10,15,42.83
Congo,2009,8.83,0.67,10,10,15,44.5
Congo,2010,8.5,0.75,10,10,13.75,43
Congo,2011,8.25,0.75,10,10,13.25,42.25
Congo,2012,8.33,1,9.13,10,13.75,42.21
Congo,2013,8.63,1,9.33,10,12,40.96
Congo DR,1984,2.5,1.49,2.99,2.99,4.48,14.45
Congo DR,1985,2.91,1.98,3.96,3.96,5.94,18.75
Congo DR,1986,5,2.4,4.79,4.79,7.19,24.17
Congo DR,1987,3.17,2.5,5,5,7.5,23.17
Congo DR,1988,2,2.22,4.45,4.45,6.67,19.79
Congo DR,1989,1.13,2.08,4.17,4.17,6.25,17.8
Congo DR,1990,2.63,2.26,4.51,4.51,6.77,20.68
Congo DR,1991,0.67,1.98,3.96,3.96,5.94,16.51
Congo DR,1992,0,0.83,1.67,1.67,2.5,6.67
Congo DR,1993,0,0.83,1.67,1.67,2.5,6.67
Congo DR,1994,0,0.83,1.67,1.67,2.5,6.67
Congo DR,1995,0,1.11,2.22,2.22,3.33,8.88
Congo DR,1996,0,1.25,2.5,2.5,3.75,10
Congo DR,1997,0,0.9,2.26,2.18,4.88,10.22
Congo DR,1998,3.75,0,4.33,1,7,16.08
Congo DR,1999,1.17,0,5.21,6.04,10.21,22.63
Congo DR,2000,0,0,7.5,6.5,14.21,28.21
Congo DR,2001,0.17,0,7.92,5.5,14.38,27.97
Congo DR,2002,2.38,0,6.75,5.5,7.13,21.76
Congo DR,2003,5.83,0,9.08,5.88,8.88,29.67
Congo DR,2004,7.25,0,9.92,6.13,9.29,32.59
Congo DR,2005,7.71,0,10,5.5,9.5,32.71
Congo DR,2006,6.13,0,10,5.58,9.5,31.21
Congo DR,2007,6,0,10,6.83,9.17,32
Congo DR,2008,6.08,0,10,6.42,9.58,32.08
Congo DR,2009,5.21,0,8.54,1.75,9.25,24.75
Congo DR,2010,5.33,0,9.46,1.96,9.54,26.29
Congo DR,2011,6.04,0,10,3.33,8.75,28.12
Congo DR,2012,6.5,0,9.83,4.42,11.08,31.83
Congo DR,2013,7.75,0,10,6,7.5,31.25
Costa Rica,1984,3.58,2.29,4.58,4.58,6.88,21.91
Costa Rica,1985,4.54,2.08,4.17,4.17,6.25,21.21
Costa Rica,1986,6.42,1.88,3.75,3.75,5.63,21.43
Costa Rica,1987,5.63,1.94,3.89,3.89,5.83,21.18
Costa Rica,1988,5.92,2.08,4.17,4.17,6.25,22.59
Costa Rica,1989,4.58,2.08,4.17,4.17,6.25,21.25
Costa Rica,1990,6,2.47,4.93,4.93,7.4,25.73
Costa Rica,1991,5.25,2.92,5.83,5.83,8.75,28.58
Costa Rica,1992,5,2.99,5.97,5.97,8.96,28.89
Costa Rica,1993,5.13,2.92,5.83,5.83,8.75,28.46
Costa Rica,1994,6.33,2.81,5.63,5.63,8.44,28.84
Costa Rica,1995,6.42,2.5,5,5,7.5,26.42
Costa Rica,1996,5.46,2.5,5,5,7.5,25.46
Costa Rica,1997,6,2.31,5.65,5.45,9.75,29.16
Costa Rica,1998,6.88,1.46,8.33,5.58,10.79,33.04
Costa Rica,1999,6.83,1.48,9,6.33,10.92,34.56
Costa Rica,2000,7.08,2,9.5,6,10,34.58
Costa Rica,2001,6.96,2.38,8.25,6,10.17,33.76
Costa Rica,2002,8.58,2.5,7.08,6,10.33,34.49
Costa Rica,2003,8.67,2.5,7.46,5.63,10.04,34.3
Costa Rica,2004,6.96,2.33,8.92,6.33,10.33,34.87
Costa Rica,2005,7.42,2,8.58,6.5,10,34.5
Costa Rica,2006,7,2,8.33,6.5,10,33.83
Costa Rica,2007,7.17,2,9.5,8.17,10,36.84
Costa Rica,2008,7.21,2,9.25,8.5,9.75,36.71
Costa Rica,2009,7.04,2,4.92,6.79,10.17,30.92
Costa Rica,2010,8,2,4.38,5.75,12.21,32.34
Costa Rica,2011,8.33,2.33,8.75,5.25,10.17,34.83
Costa Rica,2012,8.29,2.5,8.92,5.63,10,35.34
Costa Rica,2013,8.58,2.5,8.83,5.5,10,35.41
Cote d'Ivoire,1984,7.96,2.64,5.28,5.28,7.92,29.08
Cote d'Ivoire,1985,8.5,2.92,5.83,5.83,8.75,31.83
Cote d'Ivoire,1986,8.5,2.78,5.56,5.56,8.34,30.74
Cote d'Ivoire,1987,8.58,2.71,5.42,5.42,8.13,30.26
Cote d'Ivoire,1988,8.5,2.36,4.72,4.72,7.08,27.38
Cote d'Ivoire,1989,8.5,2.67,5.35,5.35,8.02,29.89
Cote d'Ivoire,1990,8.21,2.22,4.45,4.45,6.67,26
Cote d'Ivoire,1991,8.17,2.85,5.7,5.7,8.54,30.96
Cote d'Ivoire,1992,9.33,2.6,5.21,5.21,7.81,30.16
Cote d'Ivoire,1993,9.13,2.5,5,5,7.5,29.13
Cote d'Ivoire,1994,5.63,2.08,4.17,4.17,6.25,22.3
Cote d'Ivoire,1995,6.54,2.08,4.17,4.17,6.25,23.21
Cote d'Ivoire,1996,8.83,2.08,4.17,4.17,6.25,25.5
Cote d'Ivoire,1997,8.92,1.77,6.88,5.71,8.65,31.93
Cote d'Ivoire,1998,8.42,0.04,10,6.5,10,34.96
Cote d'Ivoire,1999,9.58,0.33,9.54,6.96,11.38,37.79
Cote d'Ivoire,2000,9.5,0.5,8.25,6.71,10.13,35.09
Cote d'Ivoire,2001,8.75,0.5,6.33,7,10.21,32.79
Cote d'Ivoire,2002,9,0.25,7.88,6,11.13,34.26
Cote d'Ivoire,2003,8.5,0,6,8,10.88,33.38
Cote d'Ivoire,2004,9,0,6.88,7.25,11.75,34.88
Cote d'Ivoire,2005,9.75,0,5,6.5,12.5,33.75
Cote d'Ivoire,2006,8.58,0,7.46,7,13.04,36.08
Cote d'Ivoire,2007,9.5,0,7.08,6.67,13.71,36.96
Cote d'Ivoire,2008,9.5,0,8,8.67,12.33,38.5
Cote d'Ivoire,2009,8.5,0,9,6.5,11,35
Cote d'Ivoire,2010,9.25,0,8.75,6,12.25,36.25
Cote d'Ivoire,2011,8.67,0,6.79,5.88,11.63,32.97
Cote d'Ivoire,2012,9.5,0,9.71,5.5,11.33,36.04
Cote d'Ivoire,2013,9.5,0,9.96,5.96,10.25,35.67
Croatia,1984,NA,NA,NA,NA,NA,0
Croatia,1985,NA,NA,NA,NA,NA,0
Croatia,1986,NA,NA,NA,NA,NA,0
Croatia,1987,NA,NA,NA,NA,NA,0
Croatia,1988,NA,NA,NA,NA,NA,0
Croatia,1989,NA,NA,NA,NA,NA,0
Croatia,1990,NA,NA,NA,NA,NA,0
Croatia,1991,NA,NA,NA,NA,NA,0
Croatia,1992,NA,NA,NA,NA,NA,0
Croatia,1993,NA,NA,NA,NA,NA,0
Croatia,1994,NA,NA,NA,NA,NA,0
Croatia,1995,NA,NA,NA,NA,NA,0
Croatia,1996,NA,NA,NA,NA,NA,0
Croatia,1997,NA,NA,NA,NA,NA,0
Croatia,1998,8.06,NA,NA,NA,NA,8.06
Croatia,1999,8.63,1.89,10,7.88,8.38,36.78
Croatia,2000,8.63,2.5,7.67,7.08,9.75,35.63
Croatia,2001,8.5,2.5,9,7.38,10.25,37.63
Croatia,2002,8.71,2.5,8.67,5.75,10.5,36.13
Croatia,2003,9,2.5,8.5,4.5,10.5,35
Croatia,2004,9.58,2.5,8.5,4.5,10.5,35.58
Croatia,2005,9.5,3,8.5,7,9,37
Croatia,2006,9.5,3,8.5,7,9,37
Croatia,2007,9.5,3,9,6.13,9,36.63
Croatia,2008,9.5,2.92,9.5,6.5,9,37.42
Croatia,2009,9.5,2.63,5.25,6.25,9.25,32.88
Croatia,2010,9.71,2.79,2.67,5.67,9.71,30.55
Croatia,2011,10,3,5,5,10,33
Croatia,2012,9.67,3,4.67,5.33,10.67,33.34
Croatia,2013,9.21,3,4.71,5.71,11.29,33.92
Cuba,1984,NA,NA,NA,NA,NA,0
Cuba,1985,NA,2.4,4.79,4.79,7.19,19.17
Cuba,1986,NA,2.05,4.1,4.1,6.15,16.4
Cuba,1987,NA,1.67,3.33,3.33,5,13.33
Cuba,1988,NA,1.67,3.33,3.33,5,13.33
Cuba,1989,NA,1.67,3.33,3.33,5,13.33
Cuba,1990,NA,1.67,3.33,3.33,5,13.33
Cuba,1991,NA,1.39,2.78,2.78,4.17,11.12
Cuba,1992,NA,1.25,2.5,2.5,3.75,10
Cuba,1993,NA,1.25,2.5,2.5,3.75,10
Cuba,1994,NA,1.25,2.5,2.5,3.75,10
Cuba,1995,NA,1.91,3.82,3.82,5.73,15.28
Cuba,1996,5.38,2.71,5.42,5.42,8.13,27.06
Cuba,1997,5,2.24,6.99,5.82,9.23,29.28
Cuba,1998,6,1,8.08,6.17,10.5,31.75
Cuba,1999,6.5,0.81,7.5,6,10.5,31.31
Cuba,2000,6.5,1.5,8.58,6,10.5,33.08
Cuba,2001,7.42,1.5,9.17,6,10.54,34.63
Cuba,2002,9.33,1.5,7.88,6,10.58,35.29
Cuba,2003,9.5,1.5,5.75,6,10.5,33.25
Cuba,2004,8.63,1.17,7.79,6,10.92,34.51
Cuba,2005,8.54,1.13,8.21,5.75,11.29,34.92
Cuba,2006,8.5,1,9.42,6,11.25,36.17
Cuba,2007,8.5,1,9.83,6,11.5,36.83
Cuba,2008,8.5,1.42,9.79,5.58,11.29,36.58
Cuba,2009,8.5,1.5,9.5,5,11,35.5
Cuba,2010,9.38,1.88,7.88,5.75,11.63,36.52
Cuba,2011,9.04,1.54,8.25,5.58,11.79,36.2
Cuba,2012,8.54,1.75,8.04,5.88,11.79,36
Cuba,2013,8.21,2,8.42,6,11.29,35.92
Cyprus,1984,NA,NA,NA,NA,NA,0
Cyprus,1985,7.58,3.75,7.5,7.5,11.25,37.58
Cyprus,1986,8.04,3.75,7.5,7.5,11.25,38.04
Cyprus,1987,8.92,3.75,7.5,7.5,11.25,38.92
Cyprus,1988,8.75,3.75,7.5,7.5,11.25,38.75
Cyprus,1989,8.5,3.75,7.5,7.5,11.25,38.5
Cyprus,1990,8.5,3.58,7.15,7.15,10.73,37.11
Cyprus,1991,8,3.33,6.67,6.67,10,34.67
Cyprus,1992,7.5,3.75,7.5,7.5,11.25,37.5
Cyprus,1993,8,3.3,6.6,6.6,9.9,34.4
Cyprus,1994,8.5,2.92,5.83,5.83,8.75,31.83
Cyprus,1995,8.5,2.92,5.83,5.83,8.75,31.83
Cyprus,1996,8.88,3.06,6.11,6.11,9.17,33.33
Cyprus,1997,9.08,3.04,7.25,6.17,9.75,35.29
Cyprus,1998,9.5,3.63,8.67,5.42,10.42,37.64
Cyprus,1999,9.04,3.21,9,4.96,10.42,36.63
Cyprus,2000,8.67,4,9.21,5.42,12.5,39.8
Cyprus,2001,8.5,4,8.71,5.79,12.17,39.17
Cyprus,2002,9.33,4,8.17,6.5,13,41
Cyprus,2003,9.5,4,8,6.5,13,41
Cyprus,2004,9.79,3.54,8,6.5,13,40.83
Cyprus,2005,9.5,4.42,8.5,9.42,10.5,42.34
Cyprus,2006,9.5,4,9,7,10,39.5
Cyprus,2007,9.5,4,8.79,7,10,39.29
Cyprus,2008,9.5,4,8.5,7,10,39
Cyprus,2009,9.5,4,8.5,7,10,39
Cyprus,2010,9.5,4,6.88,5.13,9.33,34.84
Cyprus,2011,9.5,4,6,4.5,9,33
Cyprus,2012,9.04,3.54,4.63,5.42,8.08,30.71
Cyprus,2013,9.83,3.92,2,5.5,9.25,30.5
Czech Republic,1984,NA,NA,NA,NA,NA,0
Czech Republic,1985,NA,NA,NA,NA,NA,0
Czech Republic,1986,NA,NA,NA,NA,NA,0
Czech Republic,1987,NA,NA,NA,NA,NA,0
Czech Republic,1988,NA,NA,NA,NA,NA,0
Czech Republic,1989,NA,NA,NA,NA,NA,0
Czech Republic,1990,NA,NA,NA,NA,NA,0
Czech Republic,1991,NA,NA,NA,NA,NA,0
Czech Republic,1992,NA,NA,NA,NA,NA,0
Czech Republic,1993,5.75,1.67,3.33,3.33,5,19.08
Czech Republic,1994,7.17,2.15,4.31,4.31,6.46,24.4
Czech Republic,1995,7.5,2.54,5.07,5.07,7.61,27.79
Czech Republic,1996,7.58,2.95,5.97,5.97,8.96,31.43
Czech Republic,1997,7.88,2.85,6.36,6.36,9.04,32.49
Czech Republic,1998,6.79,2.54,6.29,7.33,9.92,32.87
Czech Republic,1999,8.79,2.18,4.58,6.54,10.42,32.51
Czech Republic,2000,9.29,3,7.29,5.25,10.58,35.41
Czech Republic,2001,8.5,2.88,8.5,4.5,10.42,34.8
Czech Republic,2002,8.63,2.88,8.63,5.5,10,35.64
Czech Republic,2003,9.5,3,8.25,6.25,10,37
Czech Republic,2004,9.13,3.25,8.46,5.58,9.79,36.21
Czech Republic,2005,9.54,3.5,8.79,5.75,10.04,37.62
Czech Republic,2006,9.13,3.5,9.5,6,10.63,38.76
Czech Republic,2007,9.33,3.5,9.33,5.54,10.04,37.74
Czech Republic,2008,8.5,3.5,9.17,6.42,10.33,37.92
Czech Republic,2009,9.63,3.63,3.42,5.58,10.75,33.01
Czech Republic,2010,9.83,3.67,5.75,5,10.75,35
Czech Republic,2011,9.96,3.5,7,5.33,10.5,36.29
Czech Republic,2012,9.21,3.5,5.71,5.79,10.5,34.71
Czech Republic,2013,9.67,3.5,4.75,6,10.71,34.63
Czechoslovakia,1984,NA,3.1,6.19,6.19,9.29,24.77
Czechoslovakia,1985,10,3.33,6.67,6.67,10,36.67
Czechoslovakia,1986,10,3.02,6.04,6.04,9.06,34.16
Czechoslovakia,1987,9.88,2.85,5.7,5.7,8.54,32.67
Czechoslovakia,1988,10,2.5,5,5,7.5,30
Czechoslovakia,1989,9.96,2.47,4.93,4.93,7.4,29.69
Czechoslovakia,1990,9.5,2.08,4.17,4.17,6.25,26.17
Czechoslovakia,1991,3.29,2.08,4.17,4.17,6.25,19.96
Czechoslovakia,1992,6.83,1.88,3.75,3.75,5.63,21.84
Czechoslovakia,1993,NA,NA,NA,NA,NA,0
Czechoslovakia,1994,NA,NA,NA,NA,NA,0
Czechoslovakia,1995,NA,NA,NA,NA,NA,0
Czechoslovakia,1996,NA,NA,NA,NA,NA,0
Czechoslovakia,1997,NA,NA,NA,NA,NA,0
Czechoslovakia,1998,NA,NA,NA,NA,NA,0
Czechoslovakia,1999,NA,NA,NA,NA,NA,0
Czechoslovakia,2000,NA,NA,NA,NA,NA,0
Czechoslovakia,2001,NA,NA,NA,NA,NA,0
Czechoslovakia,2002,NA,NA,NA,NA,NA,0
Czechoslovakia,2003,NA,NA,NA,NA,NA,0
Czechoslovakia,2004,NA,NA,NA,NA,NA,0
Czechoslovakia,2005,NA,NA,NA,NA,NA,0
Czechoslovakia,2006,NA,NA,NA,NA,NA,0
Czechoslovakia,2007,NA,NA,NA,NA,NA,0
Czechoslovakia,2008,NA,NA,NA,NA,NA,0
Czechoslovakia,2009,NA,NA,NA,NA,NA,0
Czechoslovakia,2010,NA,NA,NA,NA,NA,0
Czechoslovakia,2011,NA,NA,NA,NA,NA,0
Czechoslovakia,2012,NA,NA,NA,NA,NA,0
Czechoslovakia,2013,NA,NA,NA,NA,NA,0
Denmark,1984,8,3.65,7.29,7.29,10.94,37.17
Denmark,1985,8.46,3.54,7.08,7.08,10.63,36.79
Denmark,1986,8.5,3.3,6.6,6.6,9.9,34.9
Denmark,1987,8.96,3.09,6.18,6.18,9.27,33.68
Denmark,1988,8.58,2.92,5.83,5.83,8.75,31.91
Denmark,1989,8.5,2.92,5.83,5.83,8.75,31.83
Denmark,1990,8.5,2.92,5.83,5.83,8.75,31.83
Denmark,1991,8.75,3.23,6.46,6.46,9.69,34.59
Denmark,1992,9,2.78,5.56,5.56,8.34,31.24
Denmark,1993,9.5,2.47,4.93,4.93,7.4,29.23
Denmark,1994,9,2.36,4.72,4.72,7.08,27.88
Denmark,1995,9.21,2.6,5.21,5.21,7.81,30.04
Denmark,1996,9.33,2.92,5.83,5.83,8.75,32.66
Denmark,1997,9.67,3.68,6.86,6.57,9.96,36.74
Denmark,1998,9.67,5,8.29,8.25,11.96,43.17
Denmark,1999,9.71,4.94,7,9,11.58,42.23
Denmark,2000,9.38,5,7,9,12.21,42.59
Denmark,2001,9.5,5,7.08,9,12.5,43.08
Denmark,2002,9.63,5,6.58,9,12.67,42.88
Denmark,2003,9.5,5,6.71,8.42,12.88,42.51
Denmark,2004,9.92,5,7.25,8,13,43.17
Denmark,2005,10,5,7.67,8,13,43.67
Denmark,2006,9.96,5,7.54,8.13,12.96,43.59
Denmark,2007,9.79,5,7.67,9.5,12.5,44.46
Denmark,2008,9.75,5,6.67,9.5,12.5,43.42
Denmark,2009,8.92,5,3.25,8,12.75,37.92
Denmark,2010,9.96,5,1.54,6.38,13.04,35.92
Denmark,2011,9.5,5,7.17,5.08,13.5,40.25
Denmark,2012,9.5,5,5.58,5.75,13.25,39.08
Denmark,2013,9.83,5,5.67,6.17,13.83,40.5
Dominican Republic,1984,8,1.81,3.61,3.61,5.42,22.45
Dominican Republic,1985,5,1.67,3.33,3.33,5,18.33
Dominican Republic,1986,4.25,1.67,3.33,3.33,5,17.58
Dominican Republic,1987,5,1.56,3.13,3.13,4.69,17.51
Dominican Republic,1988,4.92,1.67,3.33,3.33,5,18.25
Dominican Republic,1989,2.92,1.67,3.33,3.33,5,16.25
Dominican Republic,1990,2.96,1.98,3.96,3.96,5.94,18.8
Dominican Republic,1991,4,2.08,4.17,4.17,6.25,20.67
Dominican Republic,1992,7.04,2.08,4.17,4.17,6.25,23.71
Dominican Republic,1993,8.08,2.08,4.17,4.17,6.25,24.75
Dominican Republic,1994,8.04,2.08,4.17,4.17,6.25,24.71
Dominican Republic,1995,8.13,2.47,4.86,4.86,7.29,27.61
Dominican Republic,1996,7.25,2.5,5,5,7.5,27.25
Dominican Republic,1997,8.92,2.17,6.97,6.35,9.15,33.56
Dominican Republic,1998,8.13,1,10,8,10.63,37.76
Dominican Republic,1999,8.42,0.77,9.75,8,10.96,37.9
Dominican Republic,2000,8,1,10,8,10.5,37.5
Dominican Republic,2001,7.33,1.38,9.13,8.13,10.5,36.47
Dominican Republic,2002,8,1.5,8.46,8,10.46,36.42
Dominican Republic,2003,6.58,1.5,6.13,7.79,10.79,32.79
Dominican Republic,2004,4.25,1.04,4.5,7.83,13.5,31.12
Dominican Republic,2005,5.96,0.96,7.88,7.83,13,35.63
Dominican Republic,2006,8.08,0.67,9,8.17,12.25,38.17
Dominican Republic,2007,7.5,1.5,9.5,6.5,11.5,36.5
Dominican Republic,2008,7.67,1.5,9.33,7.67,10.33,36.5
Dominican Republic,2009,7.63,1.54,7.38,6.88,11.04,34.47
Dominican Republic,2010,8.63,1.5,7.75,6.21,11.17,35.26
Dominican Republic,2011,7.71,1.5,9,6.29,9,33.5
Dominican Republic,2012,7.92,1.5,8.88,6.13,9.29,33.72
Dominican Republic,2013,8.5,1.5,8.25,5.63,9.88,33.76
East Germany,1984,NA,3.75,7.5,7.5,11.25,30
East Germany,1985,NA,3.4,6.81,6.81,10.21,27.23
East Germany,1986,NA,3.16,6.32,6.32,9.48,25.28
East Germany,1987,NA,2.92,5.83,5.83,8.75,23.33
East Germany,1988,NA,2.92,5.83,5.83,8.75,23.33
East Germany,1989,NA,2.71,5.42,5.42,8.13,21.68
East Germany,1990,NA,1.71,3.43,3.43,5.14,13.71
East Germany,1991,NA,NA,NA,NA,NA,0
East Germany,1992,NA,NA,NA,NA,NA,0
East Germany,1993,NA,NA,NA,NA,NA,0
East Germany,1994,NA,NA,NA,NA,NA,0
East Germany,1995,NA,NA,NA,NA,NA,0
East Germany,1996,NA,NA,NA,NA,NA,0
East Germany,1997,NA,NA,NA,NA,NA,0
East Germany,1998,NA,NA,NA,NA,NA,0
East Germany,1999,NA,NA,NA,NA,NA,0
East Germany,2000,NA,NA,NA,NA,NA,0
East Germany,2001,NA,NA,NA,NA,NA,0
East Germany,2002,NA,NA,NA,NA,NA,0
East Germany,2003,NA,NA,NA,NA,NA,0
East Germany,2004,NA,NA,NA,NA,NA,0
East Germany,2005,NA,NA,NA,NA,NA,0
East Germany,2006,NA,NA,NA,NA,NA,0
East Germany,2007,NA,NA,NA,NA,NA,0
East Germany,2008,NA,NA,NA,NA,NA,0
East Germany,2009,NA,NA,NA,NA,NA,0
East Germany,2010,NA,NA,NA,NA,NA,0
East Germany,2011,NA,NA,NA,NA,NA,0
East Germany,2012,NA,NA,NA,NA,NA,0
East Germany,2013,NA,NA,NA,NA,NA,0
Ecuador,1984,3.5,2.01,4.03,4.03,6.04,19.61
Ecuador,1985,4,1.67,3.33,3.33,5,17.33
Ecuador,1986,4.46,1.67,3.33,3.33,5,17.79
Ecuador,1987,4.04,1.77,3.54,3.54,5.31,18.2
Ecuador,1988,3.67,2.12,4.24,4.24,6.36,20.63
Ecuador,1989,3.17,2.08,4.17,4.17,6.25,19.84
Ecuador,1990,3.29,2.33,4.65,4.65,6.98,21.9
Ecuador,1991,3.17,2.43,4.86,4.86,7.29,22.61
Ecuador,1992,2.96,2.29,4.58,4.58,6.88,21.29
Ecuador,1993,3.33,2.5,5,5,7.5,23.33
Ecuador,1994,3.71,2.08,4.17,4.17,6.25,20.38
Ecuador,1995,4.67,2.05,4.1,4.1,6.15,21.07
Ecuador,1996,4.21,1.67,3.33,3.33,5,17.54
Ecuador,1997,3.75,1.62,5.44,4.49,7.81,23.11
Ecuador,1998,3.71,0.96,8.08,5,12.25,30
Ecuador,1999,2.79,0.93,7.04,6.33,11.75,28.84
Ecuador,2000,1.75,1,5.67,6.13,9,23.55
Ecuador,2001,3.92,0.75,7.88,6.5,11.75,30.8
Ecuador,2002,6,0.5,8.5,6.5,10.88,32.38
Ecuador,2003,7.17,0.5,8.04,7.25,10.33,33.29
Ecuador,2004,8.67,0.96,8.67,8,10.75,37.05
Ecuador,2005,9.21,1,8.71,7.63,11.63,38.18
Ecuador,2006,9.08,1,8.33,8,11.21,37.62
Ecuador,2007,9.42,1,8.5,8.58,11.92,39.42
Ecuador,2008,8.71,1,7.5,9,12.75,38.96
Ecuador,2009,8.04,1,2.71,6.83,11.08,29.66
Ecuador,2010,8.67,1,8.17,5.33,10.67,33.84
Ecuador,2011,8.75,1,8.25,6,11,35
Ecuador,2012,8.5,1.25,9,5.75,11,35.5
Ecuador,2013,8.71,1.29,8.79,6.71,10.79,36.29
Egypt,1984,6,2.6,5.21,5.21,7.81,26.83
Egypt,1985,5.5,2.36,4.72,4.72,7.08,24.38
Egypt,1986,6,1.7,3.4,3.4,5.11,19.61
Egypt,1987,4.17,1.67,3.33,3.33,5,17.5
Egypt,1988,4,1.6,3.2,3.2,4.79,16.79
Egypt,1989,3.71,0.97,1.94,1.94,2.92,11.48
Egypt,1990,3.79,1.01,2.01,2.01,3.02,11.84
Egypt,1991,3.96,1.74,3.47,3.47,5.21,17.85
Egypt,1992,4,2.64,5.28,5.28,7.92,25.12
Egypt,1993,6.58,2.92,5.83,5.83,8.75,29.91
Egypt,1994,7.5,2.92,5.83,5.83,8.75,30.83
Egypt,1995,7.29,2.92,5.83,5.83,8.75,30.62
Egypt,1996,6.92,2.92,5.83,5.83,8.75,30.25
Egypt,1997,8.42,2.18,7.11,6.49,9.71,33.91
Egypt,1998,8.83,0.5,9.21,7.54,11,37.08
